factor_name,factor_family,description,formula,direction,lookback_window,required_fields,financial_or_market,point_in_time_required,neutralization_required,expected_sign,implementation_function,enabled,lifecycle_enabled,notes
lowvol_120d,risk,Low 120-day volatility,"-std(ret,120)",1,120.0,return_1d,market,False,True,positive after direction unification,src.factors.price_volume.add_low_volatility,True,False,Implemented; watch-only because lifecycle set already contains two volatility horizons.
lowvol_250d,risk,Low 250-day volatility,"-std(ret,250)",1,250.0,return_1d,market,False,True,positive after direction unification,src.factors.price_volume.add_low_volatility,True,False,Implemented; watch-only because lifecycle set already contains two volatility horizons.
lowturn_20d,price_volume,Log low-turnover transform,"-log(1+mean(turnover,20))",1,20.0,turnover,market,False,True,positive after direction unification,src.factors.price_volume.add_turnover_factors,True,False,Monotonic duplicate of turnover_1m under rank-based evaluation.
lowturn_60d,price_volume,Log low-turnover transform,"-log(1+mean(turnover,60))",1,60.0,turnover,market,False,True,positive after direction unification,src.factors.price_volume.add_turnover_factors,True,False,Monotonic duplicate of turnover_3m under rank-based evaluation.
bp,value,Book-to-price,book_equity/market_cap,1,,book_equity;market_cap;announcement_date,financial,True,True,positive after direction unification,src.factors.value.build_value_factors,True,False,PIT framework exists; current financial panel covers only five tickers.
ep,value,Earnings yield,net_profit/market_cap,1,,net_profit;market_cap;announcement_date,financial,True,True,positive after direction unification,src.factors.value.build_value_factors,True,False,PIT framework exists; current financial panel covers only five tickers.
sp,value,Sales yield,revenue/market_cap,1,,revenue;market_cap;announcement_date,financial,True,True,positive after direction unification,src.factors.value.build_value_factors,True,False,PIT framework exists; current financial panel covers only five tickers.
cfp,value,Operating cash-flow yield,operating_cash_flow/market_cap,1,,operating_cash_flow;market_cap;announcement_date,financial,True,True,positive after direction unification,src.factors.value.build_value_factors,True,False,PIT framework exists; current financial panel covers only five tickers.
value_composite_raw,value,Mean value yield,"mean(bp,ep,sp,cfp)",1,,bp;ep;sp;cfp,financial,True,True,positive after direction unification,src.factors.value.build_value_factors,True,False,Composite of four value yields; current coverage is insufficient.
size,size,Log market capitalization,log(market_cap),-1,0.0,market_cap,market,False,False,positive after direction unification,src.factors.quality_growth_risk.build_quality_growth_factors,True,False,Market cap is available but size is reserved as a neutralization exposure in this run.
roe,quality,Return on equity,net_profit/book_equity,1,,net_profit;book_equity;announcement_date,financial,True,True,positive after direction unification,src.factors.quality_growth_risk.build_quality_growth_factors,True,False,Current financial panel covers only five tickers.
gross_profitability,quality,Gross profitability,gross_profit/total_assets,1,,gross_profit;total_assets;announcement_date,financial,True,True,positive after direction unification,src.factors.quality_growth_risk.build_quality_growth_factors,True,False,Current financial panel covers only five tickers.
ocf_to_assets,quality,Operating cash-flow quality,operating_cash_flow/total_assets,1,,operating_cash_flow;total_assets;announcement_date,financial,True,True,positive after direction unification,src.factors.quality_growth_risk.build_quality_growth_factors,True,False,Current financial panel covers only five tickers.
revenue_growth,growth,Year-on-year revenue growth,revenue_t/revenue_{t-4}-1,1,4.0,revenue;announcement_date,financial,True,True,positive after direction unification,src.factors.quality_growth_risk.build_quality_growth_factors,True,False,Current financial panel covers only five tickers; revision history is unavailable.
earnings_growth,growth,Year-on-year earnings growth,profit_t/profit_{t-4}-1,1,4.0,net_profit;announcement_date,financial,True,True,positive after direction unification,src.factors.quality_growth_risk.build_quality_growth_factors,True,False,Current financial panel covers only five tickers; revision history is unavailable.
rolling_beta,risk,Rolling market beta,"cov(r_i,r_m)/var(r_m)",-1,252.0,return_1d,market,False,True,positive after direction unification,src.factors.quality_growth_risk.build_rolling_risk_factors,True,False,Implemented but not included in the lifecycle run because the equal-weight proxy is not an investable benchmark.
idiosyncratic_volatility,risk,Market-model residual volatility,std(r_i-beta*r_m),-1,252.0,return_1d,market,False,True,positive after direction unification,src.factors.quality_growth_risk.build_rolling_risk_factors,True,False,Implemented; watch-only pending benchmark and exposure validation.
downside_beta,risk,Beta on negative market days,beta(r_m<0),-1,252.0,return_1d,market,False,True,positive after direction unification,src.factors.quality_growth_risk.build_rolling_risk_factors,True,False,Implemented; watch-only pending benchmark and exposure validation.
